swift_code,id,bank,city,branch
AFPIDOS1,1,ADMINISTRADORA DE FONDOS DE PENSIONES SIEMBRA, S.A,SANTO DOMINGO,None
AFPSDOS1,2,AFP RESERVAS, S. A.,SANTO DOMINGO,None
ACFQDOS1,3,AGENCIA DE CAMBIO FRANKLIN VASQUEZ,SANTO DOMINGO,None
AGCLDOS1,4,AGENTE DE CAMBIO ALEYBRA, S.A.,LA ROMANA,None
AGCEDOS1,5,AGENTE DE CAMBIO AMERICA, S.A.,SANTO DOMINGO,None
AGACDOS1,6,AGENTE DE CAMBIO C P Y R COMERCIAL, S.A.,SANTIAGO,None
AGCPDOS1,7,AGENTE DE CAMBIO CAPLA, S.A.,SANTO DOMINGO,None
ACCEDOS1,8,AGENTE DE CAMBIO CARIBE EXPRESS, S.A.,SANTO DOMINGO,None
ACEODOS1,9,AGENTE DE CAMBIO CENTRO DOLLAR CD, S.A.,SANTO DOMINGO,None
ACCDDOS1,10,AGENTE DE CAMBIO CHECO AND RODRIGUEZ, S.A.,SANTIAGO,None
ACCXDOS1,11,AGENTE DE CAMBIO CIBAO EXPRESS,SANTIAGO,None
AGMCDOS1,12,AGENTE DE CAMBIO CONCEPCION,SANTO DOMINGO,None
ACDGDOS1,13,AGENTE DE CAMBIO DARIO GUZMAN,S.A.,SANTIAGO,None
ACDVDOS1,14,AGENTE DE CAMBIO DIEGO VASQUEZ, C.POR A.,SANTO DOMINGO,None
ACECDOS1,15,AGENTE DE CAMBIO EL EFECTIVO C.POR.A,SANTO DOMINGO,None
ACEDDOS1,16,AGENTE DE CAMBIO EURODIVISAS DOMINI CANA S.A.,SANTO DOMINGO,None
ACEUDOS1,17,AGENTE DE CAMBIO EXTRANJERO UNICENTRO PLAZA,SANTO DOMINGO,None
ACFPDOS1,18,AGENTE DE CAMBIO FIRST POINT,SANTO DOMINGO,None
ACGCDOS1,19,AGENTE DE CAMBIO GIROSOL CORPORATION, S.A.,SANTO DOMINGO,None
ACHRDOS1,20,AGENTE DE CAMBIO HERMANOS RODRIGUEZ , S. A.,MOCA,None
ACHADOS1,21,AGENTE DE CAMBIO HNOS DE LOS SANTOS,SANTO DOMINGO,None
ACIUDOS1,22,AGENTE DE CAMBIO IMBERT BALBUENA C. POR. A.,SANTO DOMINGO,None
ACIPDOS1,23,AGENTE DE CAMBIO INVERPLA.S.A,PUERTO PLATA,None
AGANDOS1,24,AGENTE DE CAMBIO JR INTERNACIONAL, SA,SANTO DOMINGO,None
ACJDDOS1,25,AGENTE DE CAMBIO JULIO DIAZ, C. X A,SANTO DOMINGO,None
ACJPDOS1,26,AGENTE DE CAMBIO JULIO PEA A Y ASOCIADOS S.A,BANI,None
AGADDOS1,27,AGENTE DE CAMBIO LA MOREDI, S.A,SAN CRISTOBAL,None
ACNCDOS1,28,AGENTE DE CAMBIO LA NACIONAL C.POR.A,SANTO DOMINGO,None
AGCNDOS1,29,AGENTE DE CAMBIO LEONEL, S.A,LA VEGA,None
ACLEDOS1,30,AGENTE DE CAMBIO LEONOR, S.A.,SAN FRANCISCO DE MACORIS,None
AGCRDOS1,31,AGENTE DE CAMBIO LOS PRIMOS,SANTO DOMINGO,None
ACMMDOS1,32,AGENTE DE CAMBIO MARCO'S C. POR A. MODULO NO. 1B,SANTIAGO,None
AGCYDOS1,33,AGENTE DE CAMBIO MARINELLY C.A.,LA ROMANA,None
AGMMDOS1,34,AGENTE DE CAMBIO MARVE, S.A.,SANTIAGO,None
AGAEDOS1,35,AGENTE DE CAMBIO MELO, C. POR A.,BANI,None
ACMEDOS1,36,AGENTE DE CAMBIO MONEYCORPS., I. R. , S.A.,SANTO DOMINGO,None
ACPHDOS1,37,AGENTE DE CAMBIO PATRICIO HIERRO S.A.,MONSENOR NOUEL,None
ACPSDOS1,38,AGENTE DE CAMBIO PAULINO Y ASOCIADOS,S.A.,SAN FRANCISCO DE MACORIS,None
AGCDDOS1,39,AGENTE DE CAMBIO PLACIDO IV, S.A,SANTO DOMINGO,None
ACRADOS1,40,AGENTE DE CAMBIO R.U.,S.A.,PUERTO PLATA,None
ACRPDOS1,41,AGENTE DE CAMBIO RAFAEL PLACIDO C.XA.,SANTO DOMINGO,None
ACRDDOS1,42,AGENTE DE CAMBIO REMESAS DOMINICANAS, S.A.,SANTO DOMINGO,None
ACRSDOS1,43,AGENTE DE CAMBIO RIJO Y ASOCIADOS C.POR A.,SANTO DOMINGO,None
ACBMDOS1,44,AGENTE DE CAMBIO R-M, S.A.,SANTO DOMINGO,None
ACRRDOS1,45,AGENTE DE CAMBIO RODRIGUEZ REYES, C POR A,LA ROMANA,None
AGAODOS1,46,AGENTE DE CAMBIO ROSARIO, C POR A.,SANTO DOMINGO,None
AGATDOS1,47,AGENTE DE CAMBIO S.C.T.,S.A.,SANTO DOMINGO,None
ACSXDOS1,48,AGENTE DE CAMBIO SALVIA CXA,PUERTO PLATA,None
ACSLDOS1,49,AGENTE DE CAMBIO SANTA LUCIA, S. A,SANTIAGO,None
AGAIDOS1,50,AGENTE DE CAMBIO SP, C. POR A.,PUERTO PLATA,None
AGCTDOS1,51,AGENTE DE CAMBIO TAVERAS,S.A,SANTIAGO,None
ACTMDOS1,52,AGENTE DE CAMBIO TRANSACCIONES DAMOS, C. POR A.,SANTO DOMINGO,None
ACAFDOS1,53,AGENTE DE CAMBIO TRANSNACIONAL, S.A,SANTO DOMINGO,None
BCVIDOS1,54,AGENTE DE CAMBIO VIMENCA,SANTO DOMINGO,None
ACRTDOS1,55,AGENTE DE CAMBIO Y REMESAS CTD, S.A,SANTO DOMINGO,None
ACRZDOS1,56,AGENTE DE CAMBIO Y REMESAS OZAMA, S.A,SANTO DOMINGO,None
ARCYDOS1,57,AGENTE DE REMESAS Y CAMBIO BOYA S.A.,SANTO DOMINGO,None
ARCVDOS1,58,AGENTE DE REMESAS Y CAMBIO VIMENCA, S.A,SANTO DOMINGO,None
FSCODOS1,59,ALPHA SOCIEDAD DE VALORES, S.A. PUESTO DE BOLSA,SANTO DOMINGO,None
ABHPDOS1,60,ASOCIACION BARAHONA DE AHORROS Y PRESTAMOS,BARAHONA,None
ABHRDOS1,61,ASOCIACION BONAO DE AHORROS Y PRESTAMOS,BONAO,None
ACIBDOSX,62,ASOCIACION CIBAO DE AHORROS Y PRESTAMOS,SANTIAGO DE LOS CABALLEROS,None
ACIBDOS1,63,ASOCIACION CIBAO DE AHORROS Y PRESTAMOS,SANTO DOMINGO,None
ACAPDOS1,64,ASOCIACION COTUI DE AHORROS Y PRESTAMOS,COTUI,None
ADAPDOS1,65,ASOCIACION DOMINICANA DE AHORROS Y PRESTAMOS,SANTO DOMINGO,None
ADUADOS1,66,ASOCIACION DUARTE DE AHORROS Y PRESTAMOS,SAN FRANCISCO DE MACORIS,None
AHAPDOS1,67,ASOCIACION HIGUAMO DE AHORROS Y PRESTAMOS,SAN PEDRO DE MACORIS,None
ANAYDOS1,68,ASOCIACION LA NACIONAL DE AHORROS Y PRESTAMOS,SANTO DOMINGO,None
APAPDOS1,69,ASOCIACION LA PREVISORA DE AHORROS Y PRESTAMOS,SANTIAGO DE LOS CABALLEROS,None
ALVRDOS1,70,ASOCIACION LA VEGA REAL DE AHORROS Y PRESTAMOS,LA VEGA,None
AMAPDOS1,71,ASOCIACION MAGUANA DE AHORROS Y PRESTAMOS,SAN JUAN DE LA MAGUANA,None
AMARDOS1,72,ASOCIACION MOCANA DE AHORROS Y PRESTAMOS,MOCA,None
ANAPDOS1,73,ASOCIACION NOROESTANA DE AHORROS Y PRESTAMOS,MAO,None
ANORDOS1,74,ASOCIACION NORTENA DE AHORROS Y PRESTAMOS,PUERTO PLATA,None
APARDOS1,75,ASOCIACION PERAVIA DE AHORROS Y PRESTAMOS,BANI,None
APOPDOS1,76,ASOCIACION POPULAR DE AHORROS Y PRESTAMOS,SANTO DOMINGO,None
APOPDOSX,77,ASOCIACION POPULAR DE AHORROS Y PRESTAMOS (APAP),SANTO DOMINGO,None
ARAODOS1,78,ASOCIACION ROMANA DE AHORROS Y PRESTAMOS,ROMANA,None
ABVPDOS1,79,ATLANTICO BBA VALORES PUESTO DE BOLSA, S.A.,SANTO DOMINGO,None
INULDOS1,80,BANCA INVESTIMENTI EUROMEDITERRANEA SRL,SANTO DOMINGO,None
SOEFDOS1,81,BANCA SOGEFINERG,SANTO DOMINGO,None
BAGRDOS1,82,BANCO AGRICOLA DE LA REPUBLICA DOMINICANA,SANTO DOMINGO,None
BAACDOS1,83,BANCO ATLANTICO DE AHORRO Y CREDITO, S.A.,SANTO DOMINGO,None
BAACDOSD,84,BANCO ATLANTICO DE AHORRO Y CREDITO, S.A.,SANTO DOMINGO,None
