swift_code,id,bank,city,branch
AWMOSKB1,1,ACROSS WEALTH MANAGEMENT, O.C.P., A.S.,BRATISLAVA,None
APRDSKB1,2,AGENTURA PRE RIADENIE DLHU A LIKVIDITY,BRATISLAVA,None
AFEUSKB1,3,AIG FUNDS CENTRAL EUROPE SPRAV.SPOL., A.S.,BRATISLAVA,None
AKCTSK21,4,AKCENTA, S.U.D., POBOCKA SLOVENSKO,KOSICE,None
AAMPSKB1,5,ALLIANZ ASSET MANAGEMENT, SPRAV. SPOL.,A.S.,BRATISLAVA,None
SLSSSKB1,6,AM SLSP SPRAV. SPOL., A.S.,BRATISLAVA,None
AASCSKB1,7,AMSLICO AIG SECURITIES O.C.P, A.S.,BRATISLAVA,None
AMLSSKB1,8,ASSET MANAGEMENT SLOVENSKEJ SPORITE LNE, SPRAV. SPOL., A.S.,BRATISLAVA,None
BHSOSKB1,9,BHS SLOVAKIA, O.C.P., A.S.,BRATISLAVA,None
BFKKSKBB,10,BKS BANK AG, POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,None
BPPCSKB1,11,BNP PARIBAS PERSONAL FINANCE SA POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,None
BRODSKB1,12,BROKERSKY DOM O.C.P. A.S.,BRATISLAVA,None
BUZBSKB1,13,BUDA-CASH ZRT.-POBOCKA BRATISLAVA,BRATISLAVA,None
XBRASKB1,14,BURZA CENNYCH PAPIEROV V BRATISLAVE, A.S.,BRATISLAVA,None
CINHSKB1,15,CAPITAL INVEST, O.C.P., A.S.,BRATISLAVA,None
CMRCSKB1,16,CAPITAL MARKETS, O.C.P., A.S.,BRATISLAVA,None
CSDSSKBASYS,17,CENTRALNY DEPOZITAR CENNYCH PAPIEROV SR, A.S.,BRATISLAVA,(DEPOSITORY INFORMATION SYSTEM)
CSDSSKBADTA,18,CENTRALNY DEPOZITAR CENNYCH PAPIEROV SR, A.S.,BRATISLAVA,(DEPOSITORY TECHNICAL ACCOUNT)
CSDSSKBA,19,CENTRALNY DEPOZITAR CENNYCH PAPIEROV SR, A.S.,BRATISLAVA,None
CEKOSKBX,20,CESKOSLOVENSKA OBCHODNA BANKA, A.S.,BRATISLAVA,(SLOVAK REPUBLIC DIVISION)
CITISKBASEC,21,CITIBANK EUROPE PLC, POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,(RESTRICTED USE CITIBANK BRATISLAVA TARGET 2)
CITISKBA,22,CITIBANK EUROPE PLC, POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,None
COBASKBXTBR,23,COMMERZBANK AG,BRATISLAVA,(ADMINISTRATION)
COBASKBX,24,COMMERZBANK AG,BRATISLAVA,None
